BNL APA40 data, Jan 2021 Run	File
1001	Rawdata_01_15_2021_12_06_18_RT.h5
1002	Rawdata_01_15_2021_13_08_37_APA40_LN_CHK_slot0123on_14_10_asic08_bl200.h5
1003	Rawdata_01_15_2021_13_32_14_APA40_LN_RMS_slot0123on_14_30_bl200.h5
1004	Rawdata_01_15_2021_13_37_03_APA40_LN_RMS_slot0123on_14_20_bl200.h5
1005	Rawdata_01_15_2021_13_39_25_APA40_LN_RMS_slot0123on_14_10_bl200.h5
1006	Rawdata_01_15_2021_13_43_21_APA40_LN_RMS_slot0123on_14_05_bl200.h5
1007	Rawdata_01_15_2021_13_46_59_APA40_LN_RMS_slot0123on_14_10_bl900.h5
1008	Rawdata_01_15_2021_13_49_38_APA40_LN_CHK_slot0123on_14_10_bl900_ascidac08.h5
1009	Rawdata_01_15_2021_13_55_05_APA40_LN_CHK_slot0123on_14_10_bl900_ascidac08.h5
1010	Rawdata_01_15_2021_13_59_09_APA40_LN_CHK_slot0123on_14_10_bl200_ascidac08.h5
1011	Rawdata_01_15_2021_14_03_45_APA40_LN_CHK_slot0123on_14_10_bl200_ascidac04.h5
1012	Rawdata_01_15_2021_14_07_56_APA40_LN_CHK_slot0123on_14_10_bl200_ascidac12.h5
1013	Rawdata_01_15_2021_14_16_48_APA40_LN_RMS_slot0123on_14_10_bl200.h5
1014	Rawdata_01_15_2021_14_19_35_APA40_LN_RMS_slot0123on_14_05_bl200.h5
1015	Rawdata_01_15_2021_14_21_58_APA40_LN_RMS_slot0123on_14_20_bl200.h5
1016	Rawdata_01_15_2021_14_24_55_APA40_LN_RMS_slot0123on_14_30_bl200.h5
1017	Rawdata_01_15_2021_14_30_39_APA40_LN_RMS_slot0123on_14_10_bl900.h5
1018	Rawdata_01_15_2021_14_33_20_APA40_LN_CHK_slot0123on_14_10_asicdac08_bl200.h5
1019	Rawdata_01_15_2021_14_35_35_APA40_LN_CHK_slot0123on_14_05_asicdac08_bl200.h5
1020	Rawdata_01_15_2021_14_37_41_APA40_LN_CHK_slot0123on_14_20_asicdac08_bl200.h5
1021	Rawdata_01_15_2021_14_39_45_APA40_LN_CHK_slot0123on_14_30_asicdac08_bl200.h5
1022	Rawdata_01_15_2021_14_41_38_APA40_LN_CHK_slot0123on_47_05_asicdac08_bl200.h5
1023	Rawdata_01_15_2021_14_43_13_APA40_LN_CHK_slot0123on_78_10_asicdac08_bl200.h5
1024	Rawdata_01_15_2021_14_46_35_APA40_LN_CHK_slot0123on_25_10_asicdac08_bl200.h5
1025	Rawdata_01_15_2021_14_52_23_APA40_LN_CHK_slot0123on_14_10_asicdac08_bl200_pwr.h5
